,Nbrpieces,Nbr_salle_deB,superficie,addresse
838,3,2,75,"Sicap Liberté, Dakar, Sénégal"
839,2,2,150,"Hann Bel-Air, Dakar, Sénégal"
840,3,2,98,"Mamelles, Dakar, Sénégal"
841,5,4,200,"Yoff, Dakar, Sénégal"
842,5,5,251,"Dakar, Sénégal"
843,5,5,205,"Mermoz-Sacré Coeur, Dakar, Sénégal"
844,4,2,1,"Sacré-Coeur, Dakar, Sénégal"
847,2,1,60,"Ouakam, Dakar, Sénégal"
848,4,3,100,"Hann Bel-Air, Dakar, Sénégal"
849,4,4,120,"Point E, Dakar, Sénégal"
850,4,3,138,"Sicap foire, Dakar, Sénégal"
852,2,2,55,"Ouest Foire, Dakar, Sénégal"
853,5,5,200,"Point E, Dakar, Sénégal"
854,2,2,100,"Fann, Dakar, Sénégal"
856,5,4,200,"Yoff, Dakar, Sénégal"
857,4,3,150,"Fass, Dakar, Sénégal"
858,4,2,150,"Dakar Plateau, Dakar, Sénégal"
859,2,2,125,"Mamelles, Dakar, Sénégal"
865,6,5,200,"Mamelles, Dakar, Sénégal"
866,3,1,50,"Mamelles, Dakar, Sénégal"
867,2,1,100,"Ouakam, Dakar, Sénégal"
868,2,2,80,"Ngor, Dakar, Sénégal"
869,4,2,150,"Grand Yoff, Dakar, Sénégal"
870,2,2,150,"Sacré-Coeur, Dakar, Sénégal"
871,3,2,100,"Ouakam, Dakar, Sénégal"
872,3,3,150,"Fann, Dakar, Sénégal"
873,4,2,150,"Mamelles, Dakar, Sénégal"
875,3,3,12,"Dakar Plateau, Dakar, Sénégal"
879,3,1,100,"Dieuppeul-Derklé, Dakar, Sénégal"
880,4,3,175,"Sacré-Coeur, Dakar, Sénégal"
881,4,3,175,"Sacré-Coeur, Dakar, Sénégal"
883,4,3,105,"Almadies, Dakar, Sénégal"
884,3,3,90,"Grand Dakar, Dakar, Sénégal"
885,4,3,130,"Mermoz-Sacré Coeur, Dakar, Sénégal"
886,4,2,150,"Ouest Foire, Dakar, Sénégal"
887,4,3,80,"Sicap Liberté, Dakar, Sénégal"
891,4,5,250,"Almadies, Dakar, Sénégal"
892,4,2,1,"Sicap foire, Dakar, Sénégal"
897,5,2,200,"Sicap Liberté, Dakar, Sénégal"
898,4,3,200,"Dakar Plateau, Dakar, Sénégal"
899,3,2,150,"Almadies 2, Dakar, Sénégal"
901,4,3,192,"Point E, Dakar, Sénégal"
902,4,4,150,"Sicap Liberté, Dakar, Sénégal"
905,4,2,135,"Sipres, Dakar, Sénégal"
906,5,4,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
907,1,1,70,"Sicap Liberté, Dakar, Sénégal"
908,2,2,75,"Almadies, Dakar, Sénégal"
911,3,2,150,"Rufisque, Sénégal"
912,4,2,100,"Dakar Plateau, Dakar, Sénégal"
926,10,5,263,"Yoff, Dakar, Sénégal"
927,4,4,140,"Ouakam, Dakar, Sénégal"
928,4,3,300,"Louga, Sénégal"
930,2,3,125,"Sicap Liberté, Dakar, Sénégal"
932,4,4,170,"Yoff, Dakar, Sénégal"
933,4,4,155,"Point E, Dakar, Sénégal"
934,2,2,55,"Ouest Foire, Dakar, Sénégal"
